title,date_company,content,date,company
"""당근마켓이 강태공을 연결해줬어"" 지붕 위 애착 인형을 구조해낸...",2021.02.26 | 허핑턴포스트코리아,아끼는 애착 인형을 지붕 위에 떨어뜨렸다면? 당근마켓이 도움이 될 수 있다. 지난 26일 온라인 커뮤니티 더쿠에는 ‘당근마켓 강태공’이라는 제목의 글이 올라왔다. 한...,2021.02.26,허핑턴포스트코리아
"계명대 학생들, 애착인형 만들어 미혼모 시설에 기부",2021.01.28 | 뉴스웨이,"[뉴스웨이 강정영 기자]사진제공=계명대 계명대 학생들이 신생아용 애착인형 40개를 미혼모 시설에 기부해 지역사회에 훈훈함을 전했다. 계명대 이민석, 김지석, 전휘준...",2021.01.28,뉴스웨이
"현대엘리베이터, 가정의달 맞아 아동복지시설에 기부",2021.04.30 | 브레이크뉴스,"현장 봉사활동이 어려워진 지난해부터는 취약계층 어린이를 위한 마스크 만들기, 애착인형 만들기, 리스 꽃장식 만들기 등 가정에서 할 수 있는 비대면 봉사활동을 실시해...",2021.04.30,브레이크뉴스
"현대엘리베이터, 가정의달 맞아 소계층 어린이들에 선물",2021.04.30 | 국제뉴스,"현장 봉사활동이 어려워진 지난해부터는 취약계층 어린이를 위한 마스크 만들기, 애착인형 만들기, 리스 꽃장식 만들기 등 가정에서 할 수 있는 비대면 봉사활동을 실시해...",2021.04.30,국제뉴스
"현대엘리베이터, 소외계층 어린이들에게 운동화 선물",2021.04.30 | 건설이코노미뉴스,"현장 봉사활동이 어려워진 지난해부터는 취약계층 어린이를 위한 마스크 만들기, 애착인형 만들기, 리스 꽃장식 만들기 등 가정에서 할 수 있는 비대면 봉사활동을 실시해...",2021.04.30,건설이코노미뉴스
"현대엘리베이터, 가정의달 맞아 소외계층 어린이들에게 선물 나눔",2021.04.30 | 금융경제신문,"현장 봉사활동이 어려워진 지난해부터는 취약계층 어린이를 위한 마스크 만들기, 애착인형 만들기, 리스 꽃장식 만들기 등 가정에서 할 수 있는 비대면 봉사활동을 실시해...",2021.04.30,금융경제신문
"현대엘리베이터, 아동복지시설 원생 49명에 운동화 기부",2021.04.30 | 인더뉴스,"19로 현장 봉사활동이 어려워진 지난해부터는 취약계층 어린이를 위한 마스크 만들기, 애착인형 만들기, 리스 꽃장식 만들기 등 가정에서 할 수 있는 비대면 봉사활동을...",2021.04.30,인더뉴스
"현대엘리베이터, 아동복지시설 원생 49명에게 운동화 기부",2021.04.30 | 팍스경제TV,"현장 봉사활동이 어려워진 지난해부터는 취약계층 어린이를 위한 마스크 만들기, 애착인형 만들기, 리스 꽃장식 만들기 등 가정에서 할 수 있는 비대면 봉사활동을 실시해...",2021.04.30,팍스경제TV
현대엘리베이터 가정의 달 맞이 봉사활동 전개,2021.04.30 | 프레스맨,"현장 봉사활동이 어려워진 지난해부터는 취약계층 어린이를 위한 마스크 만들기, 애착인형 만들기, 리스 꽃장식 만들기 등 가정에서 할 수 있는 비대면 봉사활동을 실시해...",2021.04.30,프레스맨
송승봉 현대엘리베이터 대표 “지역 사회와 온정 나누는 기업시민...,2021.04.30 | Insight Korea,"현장 봉사활동이 어려워진 지난해부터는 취약계층 어린이를 위한 마스크 만들기, 애착인형 만들기, 리스 꽃장식 만들기 등 가정에서 할 수 있는 비대면 봉사활동을 실시해...",2021.04.30,Insight Korea
"현대엘리베이터, 가정의달 맞아 소계층 어린이들에게 선물",2021.04.30 | 내외뉴스통신,"현장 봉사활동이 어려워진 지난해부터는 취약계층 어린이를 위한 마스크 만들기, 애착인형 만들기, 리스 꽃장식 만들기 등 가정에서 할 수 있는 비대면 봉사활동을 실시해...",2021.04.30,내외뉴스통신
"현대엘리베이터, 가정의달 맞아 소외계층 어린이들에게 선물",2021.04.30 | NSP통신,"현장 봉사활동이 어려워진 지난해부터는 취약계층 어린이를 위한 마스크 만들기, 애착인형 만들기, 리스 꽃장식 만들기 등 가정에서 할 수 있는 비대면 봉사활동을 실시해...",2021.04.30,NSP통신
"계명대 학생들, 애착인형 개발 지역 미혼모 시설에 기부",2021.01.29 | 뉴스에듀신문,"[nEn 뉴스에듀신문] 계명대학교 학생들이 개발한 신생아용 애착인형 40개를 미혼모 시설에 기부해 어려운 시국에 훈훈함을 전했다.계명대 이민석, 김지석, 전휘준, 이용우...",2021.01.29,뉴스에듀신문
