,Unnamed: 0,강원도,가평군,가경동,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
154,,,울릉군,계양2동,,,,,,,,,,,,,
155,,,울주군,계양3동,,,,,,,,,,,,,
156,,,울진군,계화면,,,,,,,,,,,,,
157,,,원주시,고경면,,,,,,,,,,,,,
158,,,유성구,고군면,,,,,,,,,,,,,
159,,,은평구,고금면,,,,,,,,,,,,,
160,,,음성군,고남면,,,,,,,,,,,,,
161,,,의령군,고달면,,,,,,,,,,,,,
162,,,의성군,고대면,,,,,,,,,,,,,
163,,,의왕시,고덕면,,,,,,,,,,,,,
164,,,의정부시,고덕제1동,,,,,,,,,,,,,
165,,,이천시,고덕제2동,,,,,,,,,,,,,
166,,,익산시,고등동,,,,,,,,,,,,,
167,,,인제군,고봉동,,,,,,,,,,,,,
168,,,임실군,고부면,,,,,,,,,,,,,
169,,,장성군,고북면,,,,,,,,,,,,,
170,,,장수군,고산1동,,,,,,,,,,,,,
171,,,장흥군,고산2동,,,,,,,,,,,,,
172,,,전주시덕진구,고산3동,,,,,,,,,,,,,
173,,,전주시완산구,고산면,,,,,,,,,,,,,
174,,,정선군,고삼면,,,,,,,,,,,,,
175,,,정읍시,고서면,,,,,,,,,,,,,
176,,,제주시,고성동,,,,,,,,,,,,,
177,,,제천시,고성읍,,,,,,,,,,,,,
178,,,종로구,고수면,,,,,,,,,,,,,
179,,,중구,고아읍,,,,,,,,,,,,,
180,,,중랑구,고암면,,,,,,,,,,,,,
181,,,증평군,고양동,,,,,,,,,,,,,
182,,,진도군,고운동,,,,,,,,,,,,,
183,,,진안군,고잔동,,,,,,,,,,,,,
184,,,진주시,고전면,,,,,,,,,,,,,
185,,,진천군,고제면,,,,,,,,,,,,,
186,,,창녕군,고창읍,,,,,,,,,,,,,
187,,,창원시 마산합포구,고척제1동,,,,,,,,,,,,,
188,,,창원시 마산회원구,고척제2동,,,,,,,,,,,,,
189,,,창원시 성산구,고천동,,,,,,,,,,,,,
190,,,창원시 의창구,고촌읍,,,,,,,,,,,,,
191,,,창원시 진해구,고한읍,,,,,,,,,,,,,
192,,,천안시동남구,고현동,,,,,,,,,,,,,
193,,,천안시서북구,고현면,,,,,,,,,,,,,
194,,,철원군,고흥읍,,,,,,,,,,,,,
195,,,청도군,곡선동,,,,,,,,,,,,,
196,,,청송군,곡성읍,,,,,,,,,,,,,
197,,,청양군,곤명면,,,,,,,,,,,,,
198,,,청주시상당구,곤양면,,,,,,,,,,,,,
199,,,청주시서원구,곤지암읍,,,,,,,,,,,,,
200,,,청주시청원구,골약동,,,,,,,,,,,,,
201,,,청주시흥덕구,공검면,,,,,,,,,,,,,
202,,,춘천시,공근면,,,,,,,,,,,,,
203,,,충주시,공단동,,,,,,,,,,,,,
204,,,칠곡군,공덕동,,,,,,,,,,,,,
205,,,태백시,공덕면,,,,,,,,,,,,,
206,,,태안군,공도읍,,,,,,,,,,,,,
