,Unnamed: 0,강원도,가평군,가경동,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
1144,,,,봉산동,,,,,,,,,,,,,
1145,,,,봉산면,,,,,,,,,,,,,
1146,,,,봉선1동,,,,,,,,,,,,,
1147,,,,봉선2동,,,,,,,,,,,,,
1148,,,,봉성면,,,,,,,,,,,,,
1149,,,,봉수면,,,,,,,,,,,,,
1150,,,,봉암동,,,,,,,,,,,,,
1151,,,,봉양면,,,,,,,,,,,,,
1152,,,,봉양읍,,,,,,,,,,,,,
1153,,,,봉평동,,,,,,,,,,,,,
1154,,,,봉평면,,,,,,,,,,,,,
1155,,,,봉현면,,,,,,,,,,,,,
1156,,,,봉화읍,,,,,,,,,,,,,
1157,,,,봉황면,,,,,,,,,,,,,
1158,,,,부강면,,,,,,,,,,,,,
1159,,,,부개1동,,,,,,,,,,,,,
1160,,,,부개2동,,,,,,,,,,,,,
1161,,,,부개3동,,,,,,,,,,,,,
1162,,,,부계면,,,,,,,,,,,,,
1163,,,,부곡동,,,,,,,,,,,,,
1164,,,,부곡면,,,,,,,,,,,,,
1165,,,,부곡제1동,,,,,,,,,,,,,
1166,,,,부곡제2동,,,,,,,,,,,,,
1167,,,,부곡제3동,,,,,,,,,,,,,
1168,,,,부곡제4동,,,,,,,,,,,,,
1169,,,,부귀면,,,,,,,,,,,,,
1170,,,,부남면,,,,,,,,,,,,,
1171,,,,부량면,,,,,,,,,,,,,
1172,,,,부론면,,,,,,,,,,,,,
1173,,,,부리면,,,,,,,,,,,,,
1174,,,,부림동,,,,,,,,,,,,,
1175,,,,부림면,,,,,,,,,,,,,
1176,,,,부민동,,,,,,,,,,,,,
1177,,,,부발읍,,,,,,,,,,,,,
1178,,,,부북면,,,,,,,,,,,,,
1179,,,,부사동,,,,,,,,,,,,,
1180,,,,부산면,,,,,,,,,,,,,
1181,,,,부석면,,,,,,,,,,,,,
1182,,,,부성1동,,,,,,,,,,,,,
1183,,,,부성2동,,,,,,,,,,,,,
1184,,,,부안면,,,,,,,,,,,,,
1185,,,,부안읍,,,,,,,,,,,,,
1186,,,,부암동,,,,,,,,,,,,,
1187,,,,부암제1동,,,,,,,,,,,,,
1188,,,,부암제3동,,,,,,,,,,,,,
1189,,,,부여읍,,,,,,,,,,,,,
1190,,,,부원동,,,,,,,,,,,,,
1191,,,,부적면,,,,,,,,,,,,,
1192,,,,부전제1동,,,,,,,,,,,,,
1193,,,,부전제2동,,,,,,,,,,,,,
1194,,,,부주동,,,,,,,,,,,,,
1195,,,,부창동,,,,,,,,,,,,,
1196,,,,부천동,,,,,,,,,,,,,
1197,,,,부춘동,,,,,,,,,,,,,
1198,,,,부평1동,,,,,,,,,,,,,
1199,,,,부평2동,,,,,,,,,,,,,
1200,,,,부평3동,,,,,,,,,,,,,
1201,,,,부평4동,,,,,,,,,,,,,
1202,,,,부평5동,,,,,,,,,,,,,
1203,,,,부평6동,,,,,,,,,,,,,
1204,,,,부평동,,,,,,,,,,,,,
1205,,,,부항면,,,,,,,,,,,,,
1206,,,,부흥동,,,,,,,,,,,,,
1207,,,,북가좌제1동,,,,,,,,,,,,,
1208,,,,북가좌제2동,,,,,,,,,,,,,
1209,,,,북내면,,,,,,,,,,,,,
1210,,,,북도면,,,,,,,,,,,,,
1211,,,,북면,,,,,,,,,,,,,
1212,,,,북문동,,,,,,,,,,,,,
1213,,,,북방면,,,,,,,,,,,,,
1214,,,,북부동,,,,,,,,,,,,,
1215,,,,북산면,,,,,,,,,,,,,
1216,,,,북삼동,,,,,,,,,,,,,
1217,,,,북삼읍,,,,,,,,,,,,,
1218,,,,북상면,,,,,,,,,,,,,
1219,,,,북성동,,,,,,,,,,,,,
1220,,,,북신동,,,,,,,,,,,,,
1221,,,,북아현동,,,,,,,,,,,,,
1222,,,,북안면,,,,,,,,,,,,,
1223,,,,북이면,,,,,,,,,,,,,
1224,,,,북일면,,,,,,,,,,,,,
1225,,,,북천면,,,,,,,,,,,,,
1226,,,,북평동,,,,,,,,,,,,,
1227,,,,북평면,,,,,,,,,,,,,
1228,,,,북하면,,,,,,,,,,,,,
1229,,,,북항동,,,,,,,,,,,,,
1230,,,,북후면,,,,,,,,,,,,,
1231,,,,분당동,,,,,,,,,,,,,
1232,,,,분평동,,,,,,,,,,,,,
1233,,,,불갑면,,,,,,,,,,,,,
1234,,,,불광제1동,,,,,,,,,,,,,
1235,,,,불광제2동,,,,,,,,,,,,,
1236,,,,불국동,,,,,,,,,,,,,
1237,,,,불당동,,,,,,,,,,,,,
1238,,,,불로.봉무동,,,,,,,,,,,,,
1239,,,,불로대곡동,,,,,,,,,,,,,
1240,,,,불암동,,,,,,,,,,,,,
1241,,,,불은면,,,,,,,,,,,,,
1242,,,,불정면,,,,,,,,,,,,,
1243,,,,불현동,,,,,,,,,,,,,
1244,,,,비금면,,,,,,,,,,,,,
1245,,,,비래동,,,,,,,,,,,,,
1246,,,,비봉면,,,,,,,,,,,,,
1247,,,,비산1동,,,,,,,,,,,,,
1248,,,,비산2.3동,,,,,,,,,,,,,
1249,,,,비산2동,,,,,,,,,,,,,
1250,,,,비산3동,,,,,,,,,,,,,
1251,,,,비산4동,,,,,,,,,,,,,
1252,,,,비산5동,,,,,,,,,,,,,
1253,,,,비산6동,,,,,,,,,,,,,
1254,,,,비산7동,,,,,,,,,,,,,
1255,,,,비산동,,,,,,,,,,,,,
1256,,,,비아동,,,,,,,,,,,,,
1257,,,,비안면,,,,,,,,,,,,,
1258,,,,비인면,,,,,,,,,,,,,
1259,,,,비전1동,,,,,,,,,,,,,
1260,,,,비전2동,,,,,,,,,,,,,
1261,,,,빛가람동,,,,,,,,,,,,,
1262,,,,사곡면,,,,,,,,,,,,,
1263,,,,사근동,,,,,,,,,,,,,
1264,,,,사남면,,,,,,,,,,,,,
1265,,,,사내면,,,,,,,,,,,,,
1266,,,,사당제1동,,,,,,,,,,,,,
1267,,,,사당제2동,,,,,,,,,,,,,
1268,,,,사당제3동,,,,,,,,,,,,,
1269,,,,사당제4동,,,,,,,,,,,,,
1270,,,,사당제5동,,,,,,,,,,,,,
1271,,,,사동,,,,,,,,,,,,,
1272,,,,사등면,,,,,,,,,,,,,
1273,,,,사량면,,,,,,,,,,,,,
1274,,,,사리면,,,,,,,,,,,,,
1275,,,,사매면,,,,,,,,,,,,,
1276,,,,사벌국면,,,,,,,,,,,,,
1277,,,,사봉면,,,,,,,,,,,,,
1278,,,,사북면,,,,,,,,,,,,,
1279,,,,사북읍,,,,,,,,,,,,,
1280,,,,사우동,,,,,,,,,,,,,
1281,,,,사이동,,,,,,,,,,,,,
1282,,,,사직1동,,,,,,,,,,,,,
1283,,,,사직2동,,,,,,,,,,,,,
1284,,,,사직동,,,,,,,,,,,,,
1285,,,,사직제1동,,,,,,,,,,,,,
1286,,,,사직제2동,,,,,,,,,,,,,
1287,,,,사직제3동,,,,,,,,,,,,,
1288,,,,사창동,,,,,,,,,,,,,
1289,,,,사천면,,,,,,,,,,,,,
1290,,,,사천읍,,,,,,,,,,,,,
1291,,,,사파동,,,,,,,,,,,,,
1292,,,,사평면,,,,,,,,,,,,,
1293,,,,산격1동,,,,,,,,,,,,,
1294,,,,산격2동,,,,,,,,,,,,,
1295,,,,산격3동,,,,,,,,,,,,,
1296,,,,산격4동,,,,,,,,,,,,,
1297,,,,산곡1동,,,,,,,,,,,,,
1298,,,,산곡2동,,,,,,,,,,,,,
1299,,,,산곡3동,,,,,,,,,,,,,
1300,,,,산곡4동,,,,,,,,,,,,,
1301,,,,산남동,,,,,,,,,,,,,
1302,,,,산내동,,,,,,,,,,,,,
1303,,,,산내면,,,,,,,,,,,,,
1304,,,,산동면,,,,,,,,,,,,,
1305,,,,산동읍,,,,,,,,,,,,,
1306,,,,산본1동,,,,,,,,,,,,,
1307,,,,산본2동,,,,,,,,,,,,,
1308,,,,산북면,,,,,,,,,,,,,
1309,,,,산서면,,,,,,,,,,,,,
1310,,,,산성동,,,,,,,,,,,,,
1311,,,,산성면,,,,,,,,,,,,,
1312,,,,산수1동,,,,,,,,,,,,,
1313,,,,산수2동,,,,,,,,,,,,,
1314,,,,산양면,,,,,,,,,,,,,
1315,,,,산양읍,,,,,,,,,,,,,
1316,,,,산외면,,,,,,,,,,,,,
1317,,,,산이면,,,,,,,,,,,,,
1318,,,,산인면,,,,,,,,,,,,,
1319,,,,산정동,,,,,,,,,,,,,
1320,,,,산척면,,,,,,,,,,,,,
1321,,,,산청읍,,,,,,,,,,,,,
1322,,,,산포면,,,,,,,,,,,,,
1323,,,,산호동,,,,,,,,,,,,,
1324,,,,살미면,,,,,,,,,,,,,
1325,,,,삼가면,,,,,,,,,,,,,
1326,,,,삼각동,,,,,,,,,,,,,
1327,,,,삼각산동,,,,,,,,,,,,,
1328,,,,삼계면,,,,,,,,,,,,,
1329,,,,삼국유사면,,,,,,,,,,,,,
1330,,,,삼기면,,,,,,,,,,,,,
1331,,,,삼남읍,,,,,,,,,,,,,
1332,,,,삼덕동,,,,,,,,,,,,,
1333,,,,삼도1동,,,,,,,,,,,,,
1334,,,,삼도2동,,,,,,,,,,,,,
1335,,,,삼도동,,,,,,,,,,,,,
1336,,,,삼동면,,,,,,,,,,,,,
1337,,,,삼락동,,,,,,,,,,,,,
1338,,,,삼랑진읍,,,,,,,,,,,,,
1339,,,,삼례읍,,,,,,,,,,,,,
1340,,,,삼문동,,,,,,,,,,,,,
1341,,,,삼산1동,,,,,,,,,,,,,
1342,,,,삼산2동,,,,,,,,,,,,,
1343,,,,삼산동,,,,,,,,,,,,,
1344,,,,삼산면,,,,,,,,,,,,,
1345,,,,삼서면,,,,,,,,,,,,,
1346,,,,삼선동,,,,,,,,,,,,,
1347,,,,삼성1동,,,,,,,,,,,,,
1348,,,,삼성2동,,,,,,,,,,,,,
1349,,,,삼성동,,,,,,,,,,,,,
1350,,,,삼성면,,,,,,,,,,,,,
1351,,,,삼송동,,,,,,,,,,,,,
1352,,,,삼수동,,,,,,,,,,,,,
1353,,,,삼승면,,,,,,,,,,,,,
1354,,,,삼안동,,,,,,,,,,,,,
1355,,,,삼양동,,,,,,,,,,,,,
1356,,,,삼일동,,,,,,,,,,,,,
1357,,,,삼장면,,,,,,,,,,,,,
1358,,,,삼전동,,,,,,,,,,,,,
1359,,,,삼죽면,,,,,,,,,,,,,
1360,,,,삼천1동,,,,,,,,,,,,,
1361,,,,삼천2동,,,,,,,,,,,,,
1362,,,,삼천3동,,,,,,,,,,,,,
1363,,,,삼청동,,,,,,,,,,,,,
1364,,,,삼평동,,,,,,,,,,,,,
1365,,,,삼학동,,,,,,,,,,,,,
1366,,,,삼향동,,,,,,,,,,,,,
1367,,,,삼향읍,,,,,,,,,,,,,
1368,,,,삼호동,,,,,,,,,,,,,
1369,,,,삼호읍,,,,,,,,,,,,,
1370,,,,삼화동,,,,,,,,,,,,,
1371,,,,삽교읍,,,,,,,,,,,,,
1372,,,,상갈동,,,,,,,,,,,,,
1373,,,,상계10동,,,,,,,,,,,,,
1374,,,,상계1동,,,,,,,,,,,,,
1375,,,,상계2동,,,,,,,,,,,,,
1376,,,,상계3.4동,,,,,,,,,,,,,
1377,,,,상계5동,,,,,,,,,,,,,
1378,,,,상계6.7동,,,,,,,,,,,,,
1379,,,,상계8동,,,,,,,,,,,,,
1380,,,,상계9동,,,,,,,,,,,,,
1381,,,,상관면,,,,,,,,,,,,,
1382,,,,상교동,,,,,,,,,,,,,
1383,,,,상남동,,,,,,,,,,,,,
1384,,,,상남면,,,,,,,,,,,,,
1385,,,,상대동,,,,,,,,,,,,,
1386,,,,상대원1동,,,,,,,,,,,,,
1387,,,,상대원2동,,,,,,,,,,,,,
1388,,,,상대원3동,,,,,,,,,,,,,
1389,,,,상도제1동,,,,,,,,,,,,,
1390,,,,상도제2동,,,,,,,,,,,,,
1391,,,,상도제3동,,,,,,,,,,,,,
1392,,,,상도제4동,,,,,,,,,,,,,
1393,,,,상동,,,,,,,,,,,,,
1394,,,,상동면,,,,,,,,,,,,,
1395,,,,상동읍,,,,,,,,,,,,,
1396,,,,상리면,,,,,,,,,,,,,
1397,,,,상망동,,,,,,,,,,,,,
1398,,,,상면,,,,,,,,,,,,,
1399,,,,상모사곡동,,,,,,,,,,,,,
1400,,,,상무1동,,,,,,,,,,,,,
1401,,,,상무2동,,,,,,,,,,,,,
1402,,,,상문동,,,,,,,,,,,,,
1403,,,,상봉동,,,,,,,,,,,,,
1404,,,,상봉제1동,,,,,,,,,,,,,
1405,,,,상봉제2동,,,,,,,,,,,,,
1406,,,,상북면,,,,,,,,,,,,,
1407,,,,상사면,,,,,,,,,,,,,
1408,,,,상서면,,,,,,,,,,,,,
1409,,,,상암동,,,,,,,,,,,,,
1410,,,,상운면,,,,,,,,,,,,,
1411,,,,상월면,,,,,,,,,,,,,
1412,,,,상인1동,,,,,,,,,,,,,
1413,,,,상인2동,,,,,,,,,,,,,
1414,,,,상인3동,,,,,,,,,,,,,
1415,,,,상일동,,,,,,,,,,,,,
1416,,,,상장동,,,,,,,,,,,,,
1417,,,,상전면,,,,,,,,,,,,,
1418,,,,상주면,,,,,,,,,,,,,
1419,,,,상중이동,,,,,,,,,,,,,
1420,,,,상촌면,,,,,,,,,,,,,
1421,,,,상패동,,,,,,,,,,,,,
1422,,,,상평동,,,,,,,,,,,,,
1423,,,,상하동,,,,,,,,,,,,,
1424,,,,상하면,,,,,,,,,,,,,
1425,,,,상현1동,,,,,,,,,,,,,
1426,,,,상현2동,,,,,,,,,,,,,
1427,,,,새롬동,,,,,,,,,,,,,
1428,,,,새솔동,,,,,,,,,,,,,
1429,,,,생극면,,,,,,,,,,,,,
1430,,,,생림면,,,,,,,,,,,,,
1431,,,,생비량면,,,,,,,,,,,,,
1432,,,,생연1동,,,,,,,,,,,,,
1433,,,,생연2동,,,,,,,,,,,,,
1434,,,,생일면,,,,,,,,,,,,,
1435,,,,생초면,,,,,,,,,,,,,
1436,,,,서강동,,,,,,,,,,,,,
1437,,,,서교동,,,,,,,,,,,,,
1438,,,,서구동,,,,,,,,,,,,,
1439,,,,서남동,,,,,,,,,,,,,
1440,,,,서농동,,,,,,,,,,,,,
1441,,,,서대신제1동,,,,,,,,,,,,,
1442,,,,서대신제3동,,,,,,,,,,,,,
1443,,,,서대신제4동,,,,,,,,,,,,,
1444,,,,서도면,,,,,,,,,,,,,
1445,,,,서둔동,,,,,,,,,,,,,
1446,,,,서림동,,,,,,,,,,,,,
1447,,,,서면,,,,,,,,,,,,,
1448,,,,서부1동,,,,,,,,,,,,,
1449,,,,서부2동,,,,,,,,,,,,,
1450,,,,서부동,,,,,,,,,,,,,
1451,,,,서부면,,,,,,,,,,,,,
1452,,,,서빙고동,,,,,,,,,,,,,
1453,,,,서삼면,,,,,,,,,,,,,
1454,,,,서상면,,,,,,,,,,,,,
1455,,,,서생면,,,,,,,,,,,,,
1456,,,,서서학동,,,,,,,,,,,,,
1457,,,,서석면,,,,,,,,,,,,,
1458,,,,서수면,,,,,,,,,,,,,
1459,,,,서신동,,,,,,,,,,,,,
1460,,,,서신면,,,,,,,,,,,,,
1461,,,,서운면,,,,,,,,,,,,,
1462,,,,서원동,,,,,,,,,,,,,
1463,,,,서원면,,,,,,,,,,,,,
1464,,,,서정동,,,,,,,,,,,,,
1465,,,,서제1동,,,,,,,,,,,,,
1466,,,,서제2동,,,,,,,,,,,,,
1467,,,,서제3동,,,,,,,,,,,,,
1468,,,,서종면,,,,,,,,,,,,,
1469,,,,서창2동,,,,,,,,,,,,,
1470,,,,서창동,,,,,,,,,,,,,
1471,,,,서천읍,,,,,,,,,,,,,
1472,,,,서초1동,,,,,,,,,,,,,
1473,,,,서초2동,,,,,,,,,,,,,
1474,,,,서초3동,,,,,,,,,,,,,
1475,,,,서초4동,,,,,,,,,,,,,
1476,,,,서탄면,,,,,,,,,,,,,
1477,,,,서포면,,,,,,,,,,,,,
1478,,,,서하면,,,,,,,,,,,,,
1479,,,,서현1동,,,,,,,,,,,,,
1480,,,,서현2동,,,,,,,,,,,,,
1481,,,,서호면,,,,,,,,,,,,,
1482,,,,서홍동,,,,,,,,,,,,,
1483,,,,서화면,,,,,,,,,,,,,
1484,,,,서후면,,,,,,,,,,,,,
1485,,,,석곡동,,,,,,,,,,,,,
1486,,,,석곡면,,,,,,,,,,,,,
1487,,,,석관동,,,,,,,,,,,,,
1488,,,,석교동,,,,,,,,,,,,,
1489,,,,석남1동,,,,,,,,,,,,,
1490,,,,석남2동,,,,,,,,,,,,,
1491,,,,석남3동,,,,,,,,,,,,,
1492,,,,석남동,,,,,,,,,,,,,
1493,,,,석동,,,,,,,,,,,,,
1494,,,,석문면,,,,,,,,,,,,,
1495,,,,석보면,,,,,,,,,,,,,
1496,,,,석봉동,,,,,,,,,,,,,
1497,,,,석사동,,,,,,,,,,,,,
1498,,,,석성면,,,,,,,,,,,,,
1499,,,,석수1동,,,,,,,,,,,,,
1500,,,,석수2동,,,,,,,,,,,,,
1501,,,,석수3동,,,,,,,,,,,,,
1502,,,,석적읍,,,,,,,,,,,,,
1503,,,,석전동,,,,,,,,,,,,,
1504,,,,석촌동,,,,,,,,,,,,,
1505,,,,석포면,,,,,,,,,,,,,
1506,,,,선구동,,,,,,,,,,,,,
1507,,,,선남면,,,,,,,,,,,,,
1508,,,,선단동,,,,,,,,,,,,,
1509,,,,선도동,,,,,,,,,,,,,
1510,,,,선두구동,,,,,,,,,,,,,
1511,,,,선부1동,,,,,,,,,,,,,
1512,,,,선부2동,,,,,,,,,,,,,
1513,,,,선부3동,,,,,,,,,,,,,
1514,,,,선산읍,,,,,,,,,,,,,
1515,,,,선암동,,,,,,,,,,,,,
1516,,,,선원면,,,,,,,,,,,,,
1517,,,,선장면,,,,,,,,,,,,,
1518,,,,선주원남동,,,,,,,,,,,,,
1519,,,,선학동,,,,,,,,,,,,,
1520,,,,설성면,,,,,,,,,,,,,
1521,,,,설악면,,,,,,,,,,,,,
1522,,,,설천면,,,,,,,,,,,,,
1523,,,,성거읍,,,,,,,,,,,,,
1524,,,,성건동,,,,,,,,,,,,,
1525,,,,성곡동,,,,,,,,,,,,,
1526,,,,성남동,,,,,,,,,,,,,
1527,,,,성남면,,,,,,,,,,,,,
1528,,,,성내.충인동,,,,,,,,,,,,,
1529,,,,성내1동,,,,,,,,,,,,,
1530,,,,성내2동,,,,,,,,,,,,,
1531,,,,성내3동,,,,,,,,,,,,,
1532,,,,성내동,,,,,,,,,,,,,
1533,,,,성내면,,,,,,,,,,,,,
1534,,,,성내제1동,,,,,,,,,,,,,
1535,,,,성내제2동,,,,,,,,,,,,,
1536,,,,성내제3동,,,,,,,,,,,,,
1537,,,,성당동,,,,,,,,,,,,,
1538,,,,성당면,,,,,,,,,,,,,
1539,,,,성덕동,,,,,,,,,,,,,
1540,,,,성덕면,,,,,,,,,,,,,
1541,,,,성동면,,,,,,,,,,,,,
1542,,,,성복동,,,,,,,,,,,,,
1543,,,,성북동,,,,,,,,,,,,,
1544,,,,성사1동,,,,,,,,,,,,,
1545,,,,성사2동,,,,,,,,,,,,,
1546,,,,성산면,,,,,,,,,,,,,
1547,,,,성산읍,,,,,,,,,,,,,
1548,,,,성산제1동,,,,,,,,,,,,,
1549,,,,성산제2동,,,,,,,,,,,,,
1550,,,,성송면,,,,,,,,,,,,,
1551,,,,성수1가제1동,,,,,,,,,,,,,
1552,,,,성수1가제2동,,,,,,,,,,,,,
1553,,,,성수2가제1동,,,,,,,,,,,,,
1554,,,,성수2가제3동,,,,,,,,,,,,,
1555,,,,성수면,,,,,,,,,,,,,
1556,,,,성안동,,,,,,,,,,,,,
1557,,,,성연면,,,,,,,,,,,,,
1558,,,,성전면,,,,,,,,,,,,,
1559,,,,성정1동,,,,,,,,,,,,,
1560,,,,성정2동,,,,,,,,,,,,,
1561,,,,성주동,,,,,,,,,,,,,
1562,,,,성주면,,,,,,,,,,,,,
1563,,,,성주읍,,,,,,,,,,,,,
1564,,,,성포동,,,,,,,,,,,,,
1565,,,,성현동,,,,,,,,,,,,,
1566,,,,성화.개신.죽림동,,,,,,,,,,,,,
1567,,,,성환읍,,,,,,,,,,,,,
1568,,,,세곡동,,,,,,,,,,,,,
1569,,,,세교동,,,,,,,,,,,,,
1570,,,,세도면,,,,,,,,,,,,,
1571,,,,세류1동,,,,,,,,,,,,,
1572,,,,세류2동,,,,,,,,,,,,,
1573,,,,세류3동,,,,,,,,,,,,,
1574,,,,세마동,,,,,,,,,,,,,
1575,,,,세지면,,,,,,,,,,,,,
1576,,,,소공동,,,,,,,,,,,,,
1577,,,,소담동,,,,,,,,,,,,,
1578,,,,소라면,,,,,,,,,,,,,
1579,,,,소룡동,,,,,,,,,,,,,
1580,,,,소보면,,,,,,,,,,,,,
1581,,,,소사본동,,,,,,,,,,,,,
1582,,,,소성면,,,,,,,,,,,,,
1583,,,,소수면,,,,,,,,,,,,,
1584,,,,소안면,,,,,,,,,,,,,
1585,,,,소양동,,,,,,,,,,,,,
1586,,,,소양면,,,,,,,,,,,,,
1587,,,,소요동,,,,,,,,,,,,,
1588,,,,소원면,,,,,,,,,,,,,
1589,,,,소이면,,,,,,,,,,,,,
1590,,,,소정면,,,,,,,,,,,,,
1591,,,,소주동,,,,,,,,,,,,,
1592,,,,소천면,,,,,,,,,,,,,
1593,,,,소초면,,,,,,,,,,,,,
1594,,,,소태면,,,,,,,,,,,,,
1595,,,,소하1동,,,,,,,,,,,,,
1596,,,,소하2동,,,,,,,,,,,,,
1597,,,,소흘읍,,,,,,,,,,,,,
1598,,,,속리산면,,,,,,,,,,,,,
1599,,,,손불면,,,,,,,,,,,,,
1600,,,,손양면,,,,,,,,,,,,,
1601,,,,송광면,,,,,,,,,,,,,
1602,,,,송내동,,,,,,,,,,,,,
1603,,,,송도1동,,,,,,,,,,,,,
1604,,,,송도2동,,,,,,,,,,,,,
1605,,,,송도3동,,,,,,,,,,,,,
1606,,,,송도4동,,,,,,,,,,,,,
1607,,,,송도5동,,,,,,,,,,,,,
1608,,,,송도동,,,,,,,,,,,,,
1609,,,,송동면,,,,,,,,,,,,,
1610,,,,송라면,,,,,,,,,,,,,
1611,,,,송림1동,,,,,,,,,,,,,
1612,,,,송림2동,,,,,,,,,,,,,
1613,,,,송림3.5동,,,,,,,,,,,,,
1614,,,,송림4동,,,,,,,,,,,,,
1615,,,,송림6동,,,,,,,,,,,,,
1616,,,,송북동,,,,,,,,,,,,,
1617,,,,송산1동,,,,,,,,,,,,,
1618,,,,송산2동,,,,,,,,,,,,,
1619,,,,송산3동,,,,,,,,,,,,,
1620,,,,송산동,,,,,,,,,,,,,
1621,,,,송산면,,,,,,,,,,,,,
1622,,,,송악면,,,,,,,,,,,,,
1623,,,,송악읍,,,,,,,,,,,,,
1624,,,,송암동,,,,,,,,,,,,,
1625,,,,송월동,,,,,,,,,,,,,
1626,,,,송정1동,,,,,,,,,,,,,
1627,,,,송정2동,,,,,,,,,,,,,
1628,,,,송정동,,,,,,,,,,,,,
1629,,,,송죽동,,,,,,,,,,,,,
1630,,,,송중동,,,,,,,,,,,,,
1631,,,,송지면,,,,,,,,,,,,,
1632,,,,송천1동,,,,,,,,,,,,,
1633,,,,송천2동,,,,,,,,,,,,,
1634,,,,송천동,,,,,,,,,,,,,
1635,,,,송촌동,,,,,,,,,,,,,
1636,,,,송탄동,,,,,,,,,,,,,
1637,,,,송파1동,,,,,,,,,,,,,
1638,,,,송파2동,,,,,,,,,,,,,
1639,,,,송포동,,,,,,,,,,,,,
1640,,,,송하동,,,,,,,,,,,,,
1641,,,,송학동,,,,,,,,,,,,,
1642,,,,송학면,,,,,,,,,,,,,
1643,,,,송해면,,,,,,,,,,,,,
1644,,,,송현1.2동,,,,,,,,,,,,,
1645,,,,송현1동,,,,,,,,,,,,,
1646,,,,송현2동,,,,,,,,,,,,,
1647,,,,송현3동,,,,,,,,,,,,,
1648,,,,수곡1동,,,,,,,,,,,,,
1649,,,,수곡2동,,,,,,,,,,,,,
1650,,,,수곡면,,,,,,,,,,,,,
1651,,,,수궁동,,,,,,,,,,,,,
1652,,,,수내1동,,,,,,,,,,,,,
1653,,,,수내2동,,,,,,,,,,,,,
1654,,,,수내3동,,,,,,,,,,,,,
1655,,,,수동면,,,,,,,,,,,,,
1656,,,,수륜면,,,,,,,,,,,,,
1657,,,,수리동,,,,,,,,,,,,,
1658,,,,수민동,,,,,,,,,,,,,
1659,,,,수북면,,,,,,,,,,,,,
1660,,,,수비면,,,,,,,,,,,,,
1661,,,,수산면,,,,,,,,,,,,,
1662,,,,수색동,,,,,,,,,,,,,
1663,,,,수서동,,,,,,,,,,,,,
1664,,,,수석동,,,,,,,,,,,,,
1665,,,,수성1가동,,,,,,,,,,,,,
1666,,,,수성2.3가동,,,,,,,,,,,,,
1667,,,,수성4가동,,,,,,,,,,,,,
1668,,,,수성동,,,,,,,,,,,,,
1669,,,,수송동,,,,,,,,,,,,,
1670,,,,수신면,,,,,,,,,,,,,
1671,,,,수안보면,,,,,,,,,,,,,
1672,,,,수암동,,,,,,,,,,,,,
1673,,,,수양동,,,,,,,,,,,,,
1674,,,,수영동,,,,,,,,,,,,,
1675,,,,수완동,,,,,,,,,,,,,
1676,,,,수유1동,,,,,,,,,,,,,
1677,,,,수유2동,,,,,,,,,,,,,
1678,,,,수유3동,,,,,,,,,,,,,
1679,,,,수정제1동,,,,,,,,,,,,,
1680,,,,수정제2동,,,,,,,,,,,,,
1681,,,,수정제4동,,,,,,,,,,,,,
1682,,,,수정제5동,,,,,,,,,,,,,
1683,,,,수지면,,,,,,,,,,,,,
1684,,,,수진1동,,,,,,,,,,,,,
1685,,,,수진2동,,,,,,,,,,,,,
1686,,,,수택1동,,,,,,,,,,,,,
1687,,,,수택2동,,,,,,,,,,,,,
1688,,,,수택3동,,,,,,,,,,,,,
1689,,,,수한면,,,,,,,,,,,,,
1690,,,,순성면,,,,,,,,,,,,,
1691,,,,순창읍,,,,,,,,,,,,,
1692,,,,순흥면,,,,,,,,,,,,,
1693,,,,"숭의1,3동",,,,,,,,,,,,,
1694,,,,숭의2동,,,,,,,,,,,,,
1695,,,,숭의4동,,,,,,,,,,,,,
1696,,,,숭인제1동,,,,,,,,,,,,,
1697,,,,숭인제2동,,,,,,,,,,,,,
1698,,,,승주읍,,,,,,,,,,,,,
1699,,,,시기동,,,,,,,,,,,,,
1700,,,,시전동,,,,,,,,,,,,,
1701,,,,시종면,,,,,,,,,,,,,
1702,,,,시천면,,,,,,,,,,,,,
1703,,,,시초면,,,,,,,,,,,,,
1704,,,,시흥동,,,,,,,,,,,,,
1705,,,,시흥제1동,,,,,,,,,,,,,
1706,,,,시흥제2동,,,,,,,,,,,,,
1707,,,,시흥제3동,,,,,,,,,,,,,
1708,,,,시흥제4동,,,,,,,,,,,,,
1709,,,,시흥제5동,,,,,,,,,,,,,
1710,,,,식사동,,,,,,,,,,,,,
1711,,,,신가동,,,,,,,,,,,,,
1712,,,,신갈동,,,,,,,,,,,,,
1713,,,,신곡1동,,,,,,,,,,,,,
1714,,,,신곡2동,,,,,,,,,,,,,
1715,,,,신관동,,,,,,,,,,,,,
1716,,,,신광면,,,,,,,,,,,,,
1717,,,,신기면,,,,,,,,,,,,,
1718,,,,신길동,,,,,,,,,,,,,
1719,,,,신길제1동,,,,,,,,,,,,,
1720,,,,신길제3동,,,,,,,,,,,,,
1721,,,,신길제4동,,,,,,,,,,,,,
1722,,,,신길제5동,,,,,,,,,,,,,
1723,,,,신길제6동,,,,,,,,,,,,,
1724,,,,신길제7동,,,,,,,,,,,,,
